[MortarZ]
41
time	x
0	-6379440
0.1	-6379431
0.2	-6379422
0.3	-6379413
0.4	-6379404
0.5	-6379395
0.6	-6379386
0.7	-6379377
0.8	-6379368
0.9	-6379359
1	-6379350
1.1	-6379341
1.2	-6379332
1.3	-6379323
1.4	-6379314
1.5	-6379305
1.6	-6379296
1.7	-6379287
1.8	-6379278
1.9	-6379269
2	-6379260
2.1	-6379251
2.2	-6379242
2.3	-6379233
2.4	-6379224
2.5	-6379215
2.6	-6379206
2.7	-6379197
2.8	-6379188
2.9	-6379179
3	-6379170
3.1	-6379161
3.2	-6379152
3.3	-6379143
3.4	-6379134
3.5	-6379125
3.6	-6379116
3.7	-6379107
3.8	-6379098
3.9	-6379089
4	-6379080

[MortarY]
2
time	Z
0	0
4.0	0
	
[MortarX]
41	
time	Z
0	1300
0.1	1291
0.2	1282
0.3	1273
0.4	1264
0.5	1255
0.6	1246
0.7	1237
0.8	1228
0.9	1219
1	1210
1.1	1201
1.2	1192
1.3	1183
1.4	1174
1.5	1165
1.6	1156
1.7	1147
1.8	1138
1.9	1129
2	1120
2.1	1111
2.2	1102
2.3	1093
2.4	1084
2.5	1075
2.6	1066
2.7	1057
2.8	1048
2.9	1039
3	1030
3.1	1021
3.2	1012
3.3	1003
3.4	994
3.5	985
3.6	976
3.7	967
3.8	958
3.9	949
4	940
