[PhaseWarp]
360
Degrees	PhaseWarp
1	0.68708526
2	0.689326633
3	0.691589107
4	0.695867807
5	0.694736817
6	0.69922538
7	0.702077771
8	0.701311536
9	0.704388246
10	0.709434142
11	0.708984656
12	0.712550975
13	0.716225536
14	0.720006289
15	0.720162387
16	0.72431286
17	0.728558612
18	0.729162037
19	0.733600838
20	0.738303928
21	0.739342588
22	0.74421505
23	0.74792552
24	0.749409571
25	0.754684133
26	0.760233465
27	0.760779422
28	0.766650894
29	0.768805347
30	0.77371002
31	0.779895467
32	0.781408103
33	0.81414579
34	0.815166142
35	0.819918303
36	0.824862411
37	0.827177995
38	0.832262076
39	0.833830725
40	0.839076895
41	0.840739052
42	0.84623893
43	0.848132672
44	0.853596228
45	0.859102349
46	0.860498939
47	0.866074606
48	0.867372628
49	0.872897312
50	0.877845553
51	0.879125858
52	0.884132841
53	0.885203351
54	0.889537936
55	0.893782952
56	0.894326868
57	0.897939074
58	0.901353663
59	0.904381426
60	0.903824147
61	0.905787935
62	0.907605483
63	0.908802258
64	0.909955933
65	0.909896719
66	0.909114053
67	0.908314354
68	0.906718474
69	0.904367112
70	0.90115983
71	0.899684491
72	0.89463107
73	0.891996703
74	0.886066718
75	0.881290822
76	0.873481436
77	0.86664992
78	0.858760646
79	0.850934574
80	0.84238396
81	0.833832636
82	0.823151809
83	0.811756277
84	0.800166966
85	0.788761501
86	0.777252473
87	0.765028822
88	0.752050497
89	0.738567823
90	0.724748005
91	0.710271314
92	0.697690381
93	0.684310583
94	0.669770879
95	0.656157997
96	0.642766739
97	0.629153816
98	0.615945669
99	0.60314994
100	0.588572258
101	0.578461123
102	0.564491692
103	0.553602604
104	0.542452906
105	0.530023546
106	0.520910393
107	0.509487029
108	0.500727186
109	0.490537451
110	0.480948988
111	0.474100405
112	0.462399094
113	0.454660828
114	0.447729541
115	0.441167959
116	0.431683038
117	0.426252479
118	0.417845105
119	0.413542925
120	0.406162806
121	0.40292785
122	0.394465151
123	0.392125922
124	0.386692892
125	0.383195987
126	0.376419101
127	0.375940776
128	0.427118031
129	0.421760471
130	0.420459249
131	0.415867426
132	0.41524141
133	0.41138871
134	0.407808325
135	0.408253274
136	0.405337001
137	0.40404274
138	0.40170027
139	0.39730513
140	0.399271896
141	0.395394727
142	0.395501234
143	0.394544798
144	0.395148887
145	0.392271339
146	0.393341908
147	0.390918864
148	0.392454004
149	0.390463578
150	0.389990374
151	0.388422339
152	0.390794931
153	0.387168841
154	0.38993721
155	0.386685611
156	0.389833707
157	0.390687336
158	0.390480822
159	0.391680708
160	0.389342375
161	0.390899454
162	0.395149657
163	0.393329952
164	0.395400541
165	0.397642098
166	0.396325308
167	0.398933972
168	0.40166569
169	0.400832137
170	0.401429462
171	0.404696536
172	0.40434514
173	0.407972628
174	0.411793201
175	0.413142545
176	0.413581685
177	0.415302028
178	0.419858959
179	0.420769516
180	0.423028792
181	0.425580637
182	0.430799618
183	0.429997105
184	0.435604149
185	0.438939127
186	0.438596071
187	0.444927385
188	0.4488554
189	0.449263099
190	0.453618065
191	0.460763247
192	0.465539286
193	0.466948414
194	0.472336317
195	0.477934211
196	0.480022409
197	0.486083522
198	0.492552814
199	0.499268349
200	0.502491137
201	0.509879777
202	0.515052916
203	0.519208586
204	0.527585834
205	0.536199856
206	0.538951705
207	0.548331888
208	0.554489391
209	0.562076428
210	0.572753188
211	0.577468905
212	0.588931217
213	0.598242538
214	0.606790057
215	0.617253615
216	0.624323366
217	0.635699993
218	0.645879986
219	0.658093245
220	0.670916549
221	0.680625661
222	0.694281922
223	0.704812977
224	0.719509425
225	0.729739228
226	0.745182655
227	0.761070255
228	0.772634263
229	0.789301471
230	0.801853918
231	0.818095581
232	0.835553863
233	0.848782606
234	0.865688628
235	0.882709191
236	0.896622676
237	0.913697172
238	0.930470658
239	0.943643864
240	0.95969205
241	0.975862338
242	0.991508702
243	1.006500164
244	1.020700991
245	1.033990306
246	1.047369821
247	1.058459402
248	1.069860888
249	1.080061755
250	1.088753358
251	1.096062671
252	1.104254215
253	1.110578117
254	1.117514159
255	1.120579753
256	1.124046959
257	1.125619275
258	1.125319464
259	1.125767262
260	1.121969145
261	1.11885617
262	1.114350726
263	1.109235931
264	1.104176754
265	1.095832679
266	1.088416126
267	1.08027293
268	1.07076835
269	1.060261375
270	1.048889421
271	1.039263677
272	1.026456828
273	1.015033884
274	1.001683613
275	0.989548447
276	0.9771185
277	0.964387066
278	0.951863783
279	0.939340319
280	0.927137454
281	0.915559247
282	0.903918038
283	0.890463524
284	0.882465021
285	0.869715779
286	0.857516469
287	0.848060373
288	0.836960205
289	0.826232191
290	0.818787475
291	0.809306521
292	0.800482051
293	0.792278946
294	0.783843241
295	0.776884668
296	0.770533533
297	0.761399156
298	0.756233854
299	0.748194782
300	0.744147082
301	0.73485216
302	0.731886928
303	0.725869333
304	0.721657374
305	0.716489686
306	0.713248216
307	0.709069137
308	0.703003307
309	0.701060952
310	0.695805865
311	0.694613299
312	0.6923251
313	0.685991819
314	0.685883486
315	0.682370247
316	0.682870483
317	0.677837052
318	0.675254066
319	0.676631753
320	0.672433563
321	0.672205562
322	0.670670029
323	0.670930772
324	0.66771574
325	0.66472373
326	0.665670241
327	0.663099575
328	0.664461519
329	0.662279797
330	0.664012554
331	0.662209832
332	0.662252624
333	0.660763606
334	0.66114059
335	0.663737386
336	0.66070778
337	0.663605128
338	0.660905604
339	0.6640778
340	0.661652274
341	0.663077985
342	0.664649316
343	0.66264856
344	0.666495462
345	0.668518207
346	0.666888982
347	0.669119263
348	0.671506821
349	0.668279114
350	0.670937484
351	0.673641002
352	0.672743507
353	0.675709764
354	0.676904844
355	0.676384898
356	0.679727743
357	0.681340634
358	0.681190257
359	0.684774245
360	0.686767219
