[PhaseWarp]
73
Degrees	PhaseWarp
0	4.249401062
5	4.877690903
10	5.022125786
15	4.922045714
20	6.233519377
25	5.777048837
30	7.44050918
35	6.421647518
40	8.345255593
45	6.812576621
50	8.879141027
55	7.027272135
60	9.451640212
65	7.057634283
70	9.786507151
75	7.309253536
80	10.00588813
85	7.510034211
90	5.027538831
95	7.494693218
100	5.067228119
105	7.317251178
110	4.98570447
115	7.058406908
120	4.883646398
125	6.537052699
130	4.494105045
135	5.800531899
140	4.291671757
145	3.065738043
150	4.178854504
155	3.487884289
160	4.302476949
165	3.991343464
170	3.998715722
175	4.198252898
180	4.476385266
185	4.707134247
190	4.797435918
195	6.014410735
200	5.824524979
205	7.513707999
210	6.780110512
215	8.740997553
220	7.362771558
225	9.554634678
230	7.87708157
235	10.23760349
240	8.131574717
245	10.80532012
250	8.371665769
255	11.25638358
260	8.76725725
265	11.46537556
270	8.761761792
275	6.295118628
280	8.610307488
285	6.205130996
290	8.368950037
295	5.906625976
300	7.652846203
305	5.563244633
310	6.896935845
315	5.123688381
320	6.137951697
325	4.731486238
330	3.736744611
335	4.571183629
340	3.996376918
345	3.802433239
350	4.278241022
355	4.214199088
360	4.245584937
