[PhaseWarp]
73
Degrees	PhaseWarp
0	33.52039856
5	35.50716033
10	37.66287004
15	39.96713895
20	42.23977698
25	44.38894074
30	49.92702359
35	51.95836087
40	53.8315636
45	55.39086158
50	56.60678173
55	57.45508111
60	55.23748244
65	55.72399761
70	55.80849099
75	55.68223168
80	53.10751461
85	52.52596223
90	49.99373188
95	49.09329067
100	48.01915823
105	45.53326539
110	44.24936698
115	41.88739407
120	39.67636607
125	38.38185302
130	36.44367872
135	34.75011888
140	33.55766778
145	32.22204356
150	31.13870882
155	30.31750981
160	29.7280803
165	29.96659277
170	29.86639602
175	30.90461346
180	32.3008673
185	34.02988158
190	35.93419673
195	37.99797472
200	40.05946434
205	42.14466103
210	47.20948891
215	49.19445071
220	51.07592074
225	52.69496911
230	54.01447627
235	55.12048609
240	55.8501631
245	53.48800059
250	53.85669823
255	53.82509506
260	51.31724765
265	50.92569485
270	50.32566021
275	47.8209518
280	46.91464251
285	44.45515456
290	43.38328547
295	41.02222521
300	38.95222355
305	37.72641269
310	35.98786126
315	34.47801297
320	33.08118216
325	32.02315583
330	-328.7141483
335	-329.2120081
340	-329.4024403
345	-329.4525517
350	-329.5656915
355	-328.1212675
360	-326.4758736
