[PhaseWarp]
73
Degrees	PhaseWarp
0	144.2487245
5	137.3034735
10	130.1920805
15	120.2646608
20	112.7325495
25	105.1824265
30	97.92821804
35	90.92530517
40	84.18719314
45	77.61017974
50	71.36416068
55	65.47984048
60	59.8694751
65	54.66643697
70	49.77121968
75	47.33782536
80	42.82522969
85	40.36178602
90	36.19965072
95	33.75026606
100	29.87449863
105	27.32653862
110	23.65323315
115	20.97513646
120	17.3864564
125	14.48473356
130	11.38452289
135	7.71980002
140	4.310624405
145	0.626919392
150	-3.294381948
155	-7.468890724
160	-12.38052568
165	-17.14651077
170	-22.97684928
175	-28.03133017
180	-34.45171994
185	-41.14445281
190	-48.09845044
195	-57.58941216
200	-64.92815618
205	-72.16610329
210	-79.32871174
215	-86.29594105
220	-93.18438356
225	-99.69814185
230	-106.0579868
235	-112.0888557
240	-117.8691015
245	-123.2559882
250	-128.3412561
255	-130.9350299
260	-135.5509237
265	-138.0899429
270	-142.4390919
275	-146.5183014
280	-149.0757851
285	-152.8917398
290	-155.5358947
295	-158.3419536
300	-161.9768647
305	-165.0657846
310	-168.1415227
315	-171.9710927
320	-175.5981725
325	-179.3762997
330	176.5807395
335	172.2261906
340	167.6503239
345	162.0842157
350	157.3110238
355	150.9375133
360	144.2698051
