    Time, Position (x), Position (y), Position(z), Orientation (x), Orientation (y), Orientation (z)
 [seconds], [m], [m], [m], [rad], [rad], [rad]
0,6378137,0,0,0,0.8094,0
0.01,6378140.617,0,3.4481,0,0.8094,0
0.02,6378144.23,0,6.8931,-0.0001,0.8094,-0.0001
0.03,6378147.839,0,10.335,-0.0001,0.8093,-0.0002
0.04,6378151.443,0,13.7737,-0.0002,0.8093,-0.0003
0.05,6378155.044,0,17.2093,-0.0003,0.8092,-0.0005
0.06,6378158.64,0,20.6419,-0.0005,0.8091,-0.0006
0.07,6378162.232,-0.0001,24.0713,-0.0006,0.8089,-0.0008
0.08,6378165.819,-0.0001,27.4976,-0.0007,0.8088,-0.001
0.09,6378169.403,-0.0002,30.9208,-0.0008,0.8086,-0.0011
0.1,6378172.982,-0.0003,34.341,-0.0009,0.8083,-0.0013
0.11,6378176.557,-0.0004,37.758,-0.001,0.8081,-0.0014
0.12,6378180.128,-0.0005,41.172,-0.001,0.8079,-0.0014
0.13,6378183.694,-0.0006,44.5829,-0.001,0.8076,-0.0014
0.14,6378187.257,-0.0008,47.9908,-0.001,0.8074,-0.0014
0.15,6378190.815,-0.001,51.3956,-0.001,0.8071,-0.0013
0.16,6378194.369,-0.0012,54.7974,-0.0009,0.8069,-0.0012
0.17,6378197.919,-0.0015,58.1962,-0.0008,0.8067,-0.0011
0.18,6378201.465,-0.0017,61.5919,-0.0007,0.8065,-0.0009
0.19,6378205.006,-0.002,64.9846,-0.0006,0.8063,-0.0008
0.2,6378208.544,-0.0023,68.3743,-0.0004,0.8062,-0.0006
0.21,6378212.077,-0.0026,71.761,-0.0003,0.8061,-0.0005
0.22,6378215.607,-0.0029,75.1447,-0.0002,0.806,-0.0003
0.23,6378219.132,-0.0032,78.5253,-0.0002,0.806,-0.0002
0.24,6378222.653,-0.0035,81.903,-0.0001,0.806,-0.0002
0.25,6378226.17,-0.0038,85.2777,-0.0001,0.8059,-0.0001
0.26,6378229.682,-0.0041,88.6494,-0.0001,0.8059,-0.0001
0.27,6378233.191,-0.0044,92.0181,-0.0001,0.8059,-0.0002
0.28,6378236.696,-0.0047,95.3839,-0.0002,0.8058,-0.0003
0.29,6378240.196,-0.005,98.7466,-0.0003,0.8058,-0.0004
0.3,6378243.693,-0.0053,102.1064,-0.0004,0.8057,-0.0005
0.31,6378247.185,-0.0056,105.4632,-0.0005,0.8056,-0.0007
0.32,6378250.674,-0.006,108.817,-0.0006,0.8055,-0.0009
0.33,6378254.158,-0.0063,112.1679,-0.0007,0.8053,-0.001
0.34,6378257.638,-0.0067,115.5159,-0.0009,0.8052,-0.0012
0.35,6378261.115,-0.007,118.8608,-0.001,0.8049,-0.0013
0.36,6378264.587,-0.0074,122.2029,-0.001,0.8047,-0.0014
0.37,6378268.055,-0.0078,125.542,-0.0011,0.8045,-0.0015
0.38,6378271.519,-0.0083,128.8782,-0.0011,0.8042,-0.0016
0.39,6378274.979,-0.0087,132.2114,-0.0011,0.804,-0.0016
0.4,6378278.436,-0.0092,135.5418,-0.0011,0.8037,-0.0015
0.41,6378281.888,-0.0097,138.8692,-0.0011,0.8035,-0.0015
0.42,6378285.336,-0.0103,142.1938,-0.001,0.8032,-0.0014
0.43,6378288.78,-0.0108,145.5154,-0.0009,0.803,-0.0012
0.44,6378292.22,-0.0114,148.8342,-0.0008,0.8029,-0.0011
0.45,6378295.657,-0.0119,152.15,-0.0007,0.8027,-0.0009
0.46,6378299.089,-0.0125,155.4631,-0.0006,0.8026,-0.0008
0.47,6378302.517,-0.0131,158.7732,-0.0005,0.8025,-0.0006
0.48,6378305.941,-0.0137,162.0805,-0.0004,0.8024,-0.0005
0.49,6378309.362,-0.0143,165.3849,-0.0003,0.8023,-0.0004
0.5,6378312.778,-0.0149,168.6864,-0.0002,0.8023,-0.0003
0.51,6378316.191,-0.0155,171.9851,-0.0002,0.8022,-0.0003
0.52,6378319.599,-0.0162,175.281,-0.0002,0.8022,-0.0003
0.53,6378323.004,-0.0168,178.574,-0.0002,0.8022,-0.0003
0.54,6378326.405,-0.0174,181.8641,-0.0003,0.8021,-0.0004
0.55,6378329.801,-0.018,185.1514,-0.0003,0.8021,-0.0005
0.56,6378333.194,-0.0186,188.4359,-0.0004,0.802,-0.0006
0.57,6378336.583,-0.0192,191.7175,-0.0005,0.8019,-0.0007
0.58,6378339.968,-0.0199,194.9963,-0.0007,0.8018,-0.0009
0.59,6378343.35,-0.0205,198.2723,-0.0008,0.8017,-0.0011
0.6,6378346.727,-0.0212,201.5455,-0.0009,0.8015,-0.0012
0.61,6378350.1,-0.0218,204.8159,-0.001,0.8013,-0.0014
0.62,6378353.47,-0.0225,208.0834,-0.0011,0.8011,-0.0015
0.63,6378356.836,-0.0232,211.3482,-0.0012,0.8008,-0.0016
0.64,6378360.198,-0.024,214.6101,-0.0012,0.8006,-0.0017
0.65,6378363.556,-0.0247,217.8693,-0.0013,0.8003,-0.0017
0.66,6378366.91,-0.0255,221.1257,-0.0013,0.8001,-0.0017
0.67,6378370.26,-0.0263,224.3793,-0.0012,0.7998,-0.0017
