     Time , Longitude, Geodetic Longitude, Latitude, XYZ (x) , XYZ (y) , XYZ (z) , Velocity (x) , Velocity (y) , Velocity (z) 
 [s] , rad, rad, rad, m, m, m, m/s, m/s, m/s
60, 0.004375, 6.283, 0, 4.216e+007, 1.845e+005, 0, -13.45, 3075, 0
120, 0.00875, 6.283, 0, 4.216e+007, 3.689e+005, 0, -26.91, 3074, 0
180, 0.01313, 6.283, 0, 4.216e+007, 5.534e+005, 0, -40.36, 3074, 0
240, 0.0175, 6.283, 0, 4.216e+007, 7.379e+005, 0, -53.81, 3074, 0
300, 0.02188, 6.283, 0, 4.215e+007, 9.223e+005, 0, -67.26, 3074, 0
360, 0.02625, 6.283, 0, 4.215e+007, 1.107e+006, 0, -80.71, 3074, 0
420, 0.03063, 6.283, 0, 4.214e+007, 1.291e+006, 0, -94.16, 3073, 0
480, 0.035, 6.283, 0, 4.214e+007, 1.476e+006, 0, -107.6, 3073, 0
540, 0.03938, 6.283, 0, 4.213e+007, 1.66e+006, 0, -121, 3072, 0
600, 0.04375, 6.283, 0, 4.212e+007, 1.844e+006, 0, -134.5, 3072, 0
660, 0.04813, 6.283, 0, 4.212e+007, 2.028e+006, 0, -147.9, 3071, 0
720, 0.0525, 6.283, 0, 4.211e+007, 2.213e+006, 0, -161.4, 3070, 0
780, 0.05688, 6.283, 0, 4.21e+007, 2.397e+006, 0, -174.8, 3070, 0
840, 0.06125, 6.283, 0, 4.209e+007, 2.581e+006, 0, -188.2, 3069, 0
900, 0.06563, 6.283, 0, 4.207e+007, 2.765e+006, 0, -201.6, 3068, 0
960, 0.07, 6.283, 0, 4.206e+007, 2.949e+006, 0, -215.1, 3067, 0
1020, 0.07438, 6.283, 0, 4.205e+007, 3.133e+006, 0, -228.5, 3066, 0
1080, 0.07875, 6.283, 0, 4.203e+007, 3.317e+006, 0, -241.9, 3065, 0
1140, 0.08313, 6.283, 0, 4.202e+007, 3.501e+006, 0, -255.3, 3064, 0
1200, 0.0875, 6.283, 0, 4.2e+007, 3.685e+006, 0, -268.7, 3063, 0
1260, 0.09188, 6.283, 0, 4.199e+007, 3.869e+006, 0, -282.1, 3062, 0
1320, 0.09625, 6.283, 0, 4.197e+007, 4.052e+006, 0, -295.5, 3060, 0
1380, 0.1006, 6.283, 0, 4.195e+007, 4.236e+006, 0, -308.9, 3059, 0
1440, 0.105, 6.283, 0, 4.193e+007, 4.419e+006, 0, -322.3, 3058, 0
1500, 0.1094, 6.283, 0, 4.191e+007, 4.603e+006, 0, -335.7, 3056, 0
1560, 0.1138, 6.283, 0, 4.189e+007, 4.786e+006, 0, -349, 3055, 0
1620, 0.1181, 6.283, 0, 4.187e+007, 4.969e+006, 0, -362.4, 3053, 0
1680, 0.1225, 6.283, 0, 4.185e+007, 5.152e+006, 0, -375.7, 3052, 0
1740, 0.1269, 6.283, 0, 4.183e+007, 5.335e+006, 0, -389.1, 3050, 0
1800, 0.1313, 6.283, 0, 4.18e+007, 5.518e+006, 0, -402.4, 3048, 0
1860, 0.1356, 6.283, 0, 4.178e+007, 5.701e+006, 0, -415.8, 3046, 0
1920, 0.14, 6.283, 0, 4.175e+007, 5.884e+006, 0, -429.1, 3045, 0
1980, 0.1444, 6.283, 0, 4.173e+007, 6.067e+006, 0, -442.4, 3043, 0
2040, 0.1488, 6.283, 0, 4.17e+007, 6.249e+006, 0, -455.7, 3041, 0
2100, 0.1531, 6.283, 0, 4.167e+007, 6.431e+006, 0, -469, 3039, 0
2160, 0.1575, 6.283, 0, 4.164e+007, 6.614e+006, 0, -482.3, 3037, 0
2220, 0.1619, 6.283, 0, 4.161e+007, 6.796e+006, 0, -495.6, 3034, 0
2280, 0.1663, 6.283, 0, 4.158e+007, 6.978e+006, 0, -508.9, 3032, 0
2340, 0.1706, 6.283, 0, 4.155e+007, 7.16e+006, 0, -522.1, 3030, 0
2400, 0.175, 6.283, 0, 4.152e+007, 7.341e+006, 0, -535.4, 3028, 0
2460, 0.1794, 6.283, 0, 4.149e+007, 7.523e+006, 0, -548.6, 3025, 0
2520, 0.1838, 6.283, 0, 4.145e+007, 7.704e+006, 0, -561.8, 3023, 0
2580, 0.1881, 6.283, 0, 4.142e+007, 7.886e+006, 0, -575.1, 3020, 0
2640, 0.1925, 6.283, 0, 4.139e+007, 8.067e+006, 0, -588.3, 3018, 0
2700, 0.1969, 6.283, 0, 4.135e+007, 8.248e+006, 0, -601.5, 3015, 0
2760, 0.2013, 6.283, 0, 4.131e+007, 8.429e+006, 0, -614.7, 3013, 0
2820, 0.2056, 6.283, 0, 4.128e+007, 8.609e+006, 0, -627.8, 3010, 0
2880, 0.21, 6.283, 0, 4.124e+007, 8.79e+006, 0, -641, 3007, 0
2940, 0.2144, 6.283, 0, 4.12e+007, 8.97e+006, 0, -654.2, 3004, 0
3000, 0.2188, 6.283, 0, 4.116e+007, 9.15e+006, 0, -667.3, 3001, 0
3060, 0.2231, 6.283, 0, 4.112e+007, 9.33e+006, 0, -680.4, 2998, 0
3120, 0.2275, 6.283, 0, 4.108e+007, 9.51e+006, 0, -693.5, 2995, 0
3180, 0.2319, 6.283, 0, 4.104e+007, 9.69e+006, 0, -706.6, 2992, 0
3240, 0.2363, 6.283, 0, 4.099e+007, 9.869e+006, 0, -719.7, 2989, 0
3300, 0.2406, 6.283, 0, 4.095e+007, 1.005e+007, 0, -732.8, 2986, 0
3360, 0.245, 6.283, 0, 4.09e+007, 1.023e+007, 0, -745.8, 2983, 0
3420, 0.2494, 6.283, 0, 4.086e+007, 1.041e+007, 0, -758.9, 2979, 0
3480, 0.2538, 6.283, 0, 4.081e+007, 1.059e+007, 0, -771.9, 2976, 0
3540, 0.2581, 6.283, 0, 4.077e+007, 1.076e+007, 0, -784.9, 2973, 0
3600, 0.2625, 6.283, 0, 4.072e+007, 1.094e+007, 0, -797.9, 2969, 0
3660, 0.2669, 6.283, 0, 4.067e+007, 1.112e+007, 0, -810.9, 2966, 0
3720, 0.2713, 6.283, 0, 4.062e+007, 1.13e+007, 0, -823.9, 2962, 0
3780, 0.2756, 6.283, 0, 4.057e+007, 1.148e+007, 0, -836.8, 2959, 0
3840, 0.28, 6.283, 0, 4.052e+007, 1.165e+007, 0, -849.8, 2955, 0
3900, 0.2844, 6.283, 0, 4.047e+007, 1.183e+007, 0, -862.7, 2951, 0
3960, 0.2888, 6.283, 0, 4.042e+007, 1.201e+007, 0, -875.6, 2947, 0
4020, 0.2931, 6.283, 0, 4.037e+007, 1.218e+007, 0, -888.5, 2943, 0
4080, 0.2975, 6.283, 0, 4.031e+007, 1.236e+007, 0, -901.4, 2940, 0
4140, 0.3019, 6.283, 0, 4.026e+007, 1.254e+007, 0, -914.2, 2936, 0
4200, 0.3063, 6.283, 0, 4.02e+007, 1.271e+007, 0, -927, 2932, 0
4260, 0.3106, 6.283, 0, 4.015e+007, 1.289e+007, 0, -939.9, 2927, 0
4320, 0.315, 6.283, 0, 4.009e+007, 1.306e+007, 0, -952.7, 2923, 0
4380, 0.3194, 6.283, 0, 4.003e+007, 1.324e+007, 0, -965.4, 2919, 0
4440, 0.3238, 6.283, 0, 3.997e+007, 1.341e+007, 0, -978.2, 2915, 0
4500, 0.3281, 6.283, 0, 3.991e+007, 1.359e+007, 0, -991, 2911, 0
4560, 0.3325, 6.283, 0, 3.985e+007, 1.376e+007, 0, -1004, 2906, 0
4620, 0.3369, 6.283, 0, 3.979e+007, 1.394e+007, 0, -1016, 2902, 0
4680, 0.3413, 6.283, 0, 3.973e+007, 1.411e+007, 0, -1029, 2897, 0
4740, 0.3456, 6.283, 0, 3.967e+007, 1.429e+007, 0, -1042, 2893, 0
4800, 0.35, 6.283, 0, 3.961e+007, 1.446e+007, 0, -1054, 2888, 0
4860, 0.3544, 6.283, 0, 3.954e+007, 1.463e+007, 0, -1067, 2884, 0
4920, 0.3588, 6.283, 0, 3.948e+007, 1.48e+007, 0, -1080, 2879, 0
4980, 0.3631, 6.283, 0, 3.941e+007, 1.498e+007, 0, -1092, 2874, 0
5040, 0.3675, 6.283, 0, 3.935e+007, 1.515e+007, 0, -1105, 2869, 0
5100, 0.3719, 6.283, 0, 3.928e+007, 1.532e+007, 0, -1117, 2864, 0
5160, 0.3763, 6.283, 0, 3.921e+007, 1.549e+007, 0, -1130, 2859, 0
5220, 0.3806, 6.283, 0, 3.915e+007, 1.566e+007, 0, -1142, 2855, 0
5280, 0.385, 6.283, 0, 3.908e+007, 1.584e+007, 0, -1155, 2849, 0
5340, 0.3894, 6.283, 0, 3.901e+007, 1.601e+007, 0, -1167, 2844, 0
5400, 0.3938, 6.283, 0, 3.894e+007, 1.618e+007, 0, -1180, 2839, 0
5460, 0.3981, 6.283, 0, 3.887e+007, 1.635e+007, 0, -1192, 2834, 0
5520, 0.4025, 6.283, 0, 3.879e+007, 1.652e+007, 0, -1205, 2829, 0
5580, 0.4069, 6.283, 0, 3.872e+007, 1.669e+007, 0, -1217, 2824, 0
5640, 0.4113, 6.283, 0, 3.865e+007, 1.686e+007, 0, -1229, 2818, 0
5700, 0.4156, 6.283, 0, 3.857e+007, 1.702e+007, 0, -1242, 2813, 0
5760, 0.42, 6.283, 0, 3.85e+007, 1.719e+007, 0, -1254, 2807, 0
5820, 0.4244, 6.283, 0, 3.842e+007, 1.736e+007, 0, -1266, 2802, 0
5880, 0.4288, 6.283, 0, 3.835e+007, 1.753e+007, 0, -1278, 2796, 0
