     Time , Longitude, Geodetic Longitude, Latitude, XYZ (x) , XYZ (y) , XYZ (z) , Velocity (x) , Velocity (y) , Velocity (z) 
 [s] , rad, rad, rad, m, m, m, m/s, m/s, m/s
60, 0.11, 0.1056, 0.8984, 4.176e+006, 4.611e+005, 5.244e+006, -330.1, 7673, -413.3
120, 0.2184, 0.2096, 0.8897, 4.146e+006, 9.2e+005, 5.207e+006, -658.6, 7618, -824.6
180, 0.3237, 0.3106, 0.8753, 4.097e+006, 1.375e+006, 5.145e+006, -984, 7528, -1232
240, 0.4249, 0.4074, 0.8557, 4.028e+006, 1.823e+006, 5.059e+006, -1305, 7402, -1634
300, 0.5212, 0.4993, 0.8312, 3.94e+006, 2.262e+006, 4.949e+006, -1619, 7240, -2028
360, 0.612, 0.5857, 0.8024, 3.834e+006, 2.691e+006, 4.816e+006, -1926, 7045, -2412
420, 0.6972, 0.6666, 0.7697, 3.709e+006, 3.107e+006, 4.66e+006, -2224, 6816, -2786
480, 0.7771, 0.7421, 0.7336, 3.567e+006, 3.508e+006, 4.482e+006, -2512, 6554, -3146
540, 0.8517, 0.8123, 0.6945, 3.408e+006, 3.893e+006, 4.282e+006, -2788, 6262, -3491
600, 0.9215, 0.8778, 0.6529, 3.233e+006, 4.259e+006, 4.063e+006, -3050, 5939, -3820
660, 0.987, 0.9388, 0.609, 3.042e+006, 4.605e+006, 3.824e+006, -3298, 5589, -4131
720, 1.048, 0.996, 0.5631, 2.837e+006, 4.929e+006, 3.568e+006, -3531, 5212, -4423
780, 1.107, 1.05, 0.5156, 2.619e+006, 5.23e+006, 3.294e+006, -3747, 4810, -4693
840, 1.162, 1.1, 0.4668, 2.388e+006, 5.506e+006, 3.005e+006, -3945, 4385, -4942
900, 1.214, 1.148, 0.4167, 2.146e+006, 5.755e+006, 2.702e+006, -4125, 3938, -5168
960, 1.264, 1.194, 0.3656, 1.893e+006, 5.978e+006, 2.385e+006, -4285, 3473, -5369
1020, 1.312, 1.238, 0.3137, 1.632e+006, 6.172e+006, 2.058e+006, -4425, 2991, -5544
1080, 1.359, 1.28, 0.261, 1.363e+006, 6.337e+006, 1.721e+006, -4544, 2495, -5694
1140, 1.404, 1.321, 0.2079, 1.087e+006, 6.471e+006, 1.375e+006, -4641, 1986, -5816
1200, 1.449, 1.361, 0.1542, 8.064e+005, 6.575e+006, 1.023e+006, -4716, 1467, -5912
1260, 1.492, 1.401, 0.1002, 5.217e+005, 6.647e+006, 6.662e+005, -4769, 941.4, -5979
1320, 1.536, 1.439, 0.04602, 2.346e+005, 6.688e+006, 3.062e+005, -4799, 410.4, -6017
1380, 1.579, 1.478, -0.008304, -5.37e+004, 6.696e+006, -5.525e+004, -4806, -123, -6027
1440, 1.622, 1.517, -0.06265, -3.417e+005, 6.673e+006, -4.165e+005, -4791, -656.3, -6008
1500, 1.665, 1.556, -0.1169, -6.281e+005, 6.617e+006, -7.757e+005, -4752, -1187, -5961
1560, 1.709, 1.596, -0.171, -9.115e+005, 6.53e+006, -1.131e+006, -4690, -1713, -5885
1620, 1.754, 1.636, -0.2247, -1.19e+006, 6.412e+006, -1.481e+006, -4606, -2230, -5781
1680, 1.8, 1.678, -0.2781, -1.464e+006, 6.263e+006, -1.824e+006, -4500, -2738, -5649
1740, 1.848, 1.721, -0.3308, -1.73e+006, 6.084e+006, -2.159e+006, -4372, -3233, -5489
1800, 1.897, 1.766, -0.3829, -1.988e+006, 5.875e+006, -2.483e+006, -4223, -3713, -5304
1860, 1.948, 1.813, -0.4341, -2.236e+006, 5.639e+006, -2.795e+006, -4053, -4176, -5092
1920, 2.002, 1.862, -0.4843, -2.474e+006, 5.375e+006, -3.093e+006, -3863, -4619, -4856
1980, 2.059, 1.914, -0.5333, -2.7e+006, 5.085e+006, -3.377e+006, -3655, -5040, -4597
2040, 2.119, 1.97, -0.5807, -2.912e+006, 4.77e+006, -3.644e+006, -3429, -5437, -4314
2100, 2.183, 2.03, -0.6264, -3.111e+006, 4.433e+006, -3.894e+006, -3186, -5808, -4011
2160, 2.251, 2.093, -0.6701, -3.294e+006, 4.074e+006, -4.125e+006, -2928, -6151, -3689
2220, 2.324, 2.162, -0.7114, -3.462e+006, 3.695e+006, -4.336e+006, -2655, -6465, -3348
2280, 2.402, 2.235, -0.7498, -3.613e+006, 3.299e+006, -4.527e+006, -2369, -6748, -2990
2340, 2.485, 2.314, -0.785, -3.746e+006, 2.886e+006, -4.695e+006, -2071, -6998, -2618
2400, 2.574, 2.399, -0.8165, -3.861e+006, 2.46e+006, -4.841e+006, -1763, -7215, -2234
2460, 2.669, 2.49, -0.8437, -3.957e+006, 2.021e+006, -4.963e+006, -1446, -7396, -1838
