     Time , Longitude, Geodetic Longitude, Latitude, XYZ (x) , XYZ (y) , XYZ (z) , Velocity (x) , Velocity (y) , Velocity (z) 
 [s] , rad, rad, rad, m, m, m, m/s, m/s, m/s
0.1, 6.283, 6.283, 5.42e-006, 6.378e+006, -0.0002629, 34.34, 357.7, -0.009405, 341.9
0.2, 6.283, 6.283, 1.079e-005, 6.378e+006, -0.002292, 68.37, 353.5, -0.02864, 338.8
0.3, 6.283, 6.283, 1.612e-005, 6.378e+006, -0.005311, 102.1, 349.4, -0.03155, 335.8
0.4, 6.283, 6.283, 2.139e-005, 6.378e+006, -0.009228, 135.5, 345.4, -0.04947, 332.9
0.5, 6.283, 6.283, 2.663e-005, 6.378e+006, -0.01493, 168.7, 341.4, -0.06078, 330
0.6, 6.283, 6.283, 3.181e-005, 6.378e+006, -0.02116, 201.5, 337.5, -0.06639, 327.2
0.7, 6.283, 6.283, 3.695e-005, 6.378e+006, -0.02878, 234.1, 333.7, -0.0861, 324.4
0.8, 6.283, 6.283, 4.205e-005, 6.378e+006, -0.03783, 266.4, 329.9, -0.09221, 321.7
0.9, 6.283, 6.283, 4.711e-005, 6.378e+006, -0.04736, 298.5, 326.2, -0.1016, 319
1, 6.283, 6.283, 5.212e-005, 6.378e+006, -0.05851, 330.2, 322.5, -0.12, 316.3
1.1, 6.283, 6.283, 5.709e-005, 6.379e+006, -0.07082, 361.7, 318.9, -0.1245, 313.8
1.2, 6.283, 6.283, 6.202e-005, 6.379e+006, -0.08367, 393, 315.3, -0.1355, 311.2
1.3, 6.283, 6.283, 6.692e-005, 6.379e+006, -0.09818, 424, 311.8, -0.1532, 308.7
1.4, 6.283, 6.283, 7.177e-005, 6.379e+006, -0.1138, 454.7, 308.3, -0.1578, 306.2
1.5, 6.283, 6.283, 7.658e-005, 6.379e+006, -0.13, 485.2, 304.9, -0.1679, 303.8
1.6, 6.283, 6.283, 8.136e-005, 6.379e+006, -0.1477, 515.5, 301.6, -0.1858, 301.4
1.7, 6.283, 6.283, 8.61e-005, 6.379e+006, -0.1667, 545.5, 298.2, -0.1922, 299.1
1.8, 6.283, 6.283, 9.08e-005, 6.379e+006, -0.1861, 575.3, 295, -0.1993, 296.8
1.9, 6.283, 6.283, 9.546e-005, 6.379e+006, -0.2069, 604.9, 291.7, -0.217, 294.5
2, 6.283, 6.283, 0.0001001, 6.379e+006, -0.2293, 634.2, 288.5, -0.2276, 292.3
2.1, 6.283, 6.283, 0.0001047, 6.379e+006, -0.2522, 663.3, 285.4, -0.2318, 290.1
2.2, 6.283, 6.283, 0.0001093, 6.379e+006, -0.276, 692.2, 282.3, -0.2459, 287.9
2.3, 6.283, 6.283, 0.0001138, 6.379e+006, -0.3015, 720.9, 279.2, -0.2618, 285.8
2.4, 6.283, 6.283, 0.0001183, 6.379e+006, -0.328, 749.4, 276.2, -0.2676, 283.7
2.5, 6.283, 6.283, 0.0001227, 6.379e+006, -0.355, 777.7, 273.3, -0.2747, 281.7
2.6, 6.283, 6.283, 0.0001272, 6.379e+006, -0.3833, 805.7, 270.3, -0.2912, 279.7
2.7, 6.283, 6.283, 0.0001316, 6.379e+006, -0.4132, 833.6, 267.4, -0.3045, 277.7
2.8, 6.283, 6.283, 0.0001359, 6.379e+006, -0.4439, 861.3, 264.6, -0.3092, 275.8
2.9, 6.283, 6.283, 0.0001403, 6.379e+006, -0.4751, 888.8, 261.8, -0.3178, 273.9
3, 6.283, 6.283, 0.0001446, 6.379e+006, -0.5077, 916, 259, -0.3344, 272
3.1, 6.283, 6.283, 0.0001488, 6.379e+006, -0.5419, 943.2, 256.3, -0.3474, 270.1
3.2, 6.283, 6.283, 0.0001531, 6.379e+006, -0.5769, 970.1, 253.6, -0.3525, 268.3
3.3, 6.283, 6.283, 0.0001573, 6.379e+006, -0.6125, 996.8, 250.9, -0.3602, 266.5
3.312, 6.283, 6.283, 0.0001578, 6.379e+006, -0.6168, 1000, 250.6, -0.3618, 266.3
