[MortarX]
41
time	x
0	1300
0.1	1291
0.2	1282
0.3	1273
0.4	1264
0.5	1255
0.6	1246
0.7	1237
0.8	1228
0.9	1219
1	1210
1.1	1201
1.2	1192
1.3	1183
1.4	1174
1.5	1165
1.6	1156
1.7	1147
1.8	1138
1.9	1129
2	1120
2.1	1111
2.2	1102
2.3	1093
2.4	1084
2.5	1075
2.6	1066
2.7	1057
2.8	1048
2.9	1039
3	1030
3.1	1021
3.2	1012
3.3	1003
3.4	994
3.5	985
3.6	976
3.7	967
3.8	958
3.9	949
4	940

[MortarY]
2
time	Z
0	0
4	0

[MortarZ]
41
time	Z
0	-1300
0.1	-1291
0.2	-1282
0.3	-1273
0.4	-1264
0.5	-1255
0.6	-1246
0.7	-1237
0.8	-1228
0.9	-1219
1	-1210
1.1	-1201
1.2	-1192
1.3	-1183
1.4	-1174
1.5	-1165
1.6	-1156
1.7	-1147
1.8	-1138
1.9	-1129
2	-1120
2.1	-1111
2.2	-1102
2.3	-1093
2.4	-1084
2.5	-1075
2.6	-1066
2.7	-1057
2.8	-1048
2.9	-1039
3	-1030
3.1	-1021
3.2	-1012
3.3	-1003
3.4	-994
3.5	-985
3.6	-976
3.7	-967
3.8	-958
3.9	-949
4	-940
