n = 0
t Magnitude FirstOrder 
0 nan nan
0.01 0.0180539 5.97676
0.02 0.0360914 5.97141
0.03 0.0541125 5.96611
0.04 0.0721174 5.96149
0.05 0.0901057 5.95561
0.06 0.108078 5.94968
0.07 0.126034 5.94531
0.08 0.143973 5.93959
0.09 0.161897 5.93511
0.1 0.179804 5.92935
0.11 0.197695 5.92429
0.12 0.21557 5.91864
0.13 0.23343 5.91492
0.14 0.251273 5.90924
0.15 0.2691 5.90494
0.16 0.286912 5.89869
0.17 0.304707 5.89378
0.18 0.322487 5.88885
0.19 0.340251 5.88345
0.2 0.358 5.87907
0.21 0.375732 5.87374
0.22 0.393449 5.86982
0.23 0.41115 5.8641
0.24 0.428836 5.85971
0.25 0.446506 5.85453
0.26 0.464159 5.84978
0.27 0.481798 5.84466
0.28 0.49942 5.84035
0.29 0.517028 5.83616
0.3 0.534618 5.82839
0.31 0.552194 5.82835
0.32 0.569756 5.82592
0.33 0.5873 5.81535
0.34 0.604828 5.81186
0.35 0.622342 5.80224
0.36 0.63984 5.8039
0.37 0.657322 5.7999
0.38 0.674791 5.79618
0.39 0.692243 5.78724
0.4 0.709682 5.78258
0.41 0.727104 5.77911
0.42 0.744511 5.77568
0.43 0.761903 5.77171
0.44 0.779281 5.76785
0.45 0.796643 5.76397
0.46 0.813991 5.76028
0.47 0.831323 5.75261
0.48 0.848641 5.75254
0.49 0.865944 5.74904
0.5 0.88323 5.74509
0.51 0.900502 5.73721
0.52 0.917759 5.73307
0.53 0.935002 5.7294
0.54 0.952228 5.72595
0.55 0.96944 5.7221
0.56 0.986639 5.72348
0.57 1.00382 5.71069
0.58 1.02099 5.71116
0.59 1.03814 5.70363
0.6 1.05528 5.69964
0.61 1.0724 5.69605
0.62 1.08951 5.69296
0.63 1.1066 5.68964
0.64 1.12368 5.68617
0.65 1.14074 5.67808
0.66 1.1578 5.67944
0.67 1.17483 5.67087
0.68 1.19186 5.67374
0.69 1.20886 5.66506
0.7 1.22585 5.66195
0.71 1.24283 5.66382
0.72 1.2598 5.65528
0.73 1.27675 5.65231
0.74 1.29368 5.64518
0.75 1.31061 5.64519
0.76 1.32751 5.64227
0.77 1.34441 5.63541
0.78 1.36129 5.63528
0.79 1.37815 5.6284
0.8 1.395 5.62548
0.81 1.41184 5.62175
0.82 1.42866 5.61862
0.83 1.44546 5.61591
0.84 1.46226 5.61232
0.85 1.47903 5.60925
0.86 1.4958 5.60669
0.87 1.51255 5.59963
0.88 1.52928 5.59658
0.89 1.546 5.58928
0.9 1.56271 5.59583
0.91 1.57941 5.58303
0.92 1.59609 5.58453
0.93 1.61275 5.57759
0.94 1.62941 5.57496
0.95 1.64605 5.57239
0.96 1.66267 5.5742
0.97 1.67929 5.5664
0.98 1.69588 5.56407
0.99 1.71247 5.56064
1 1.72904 5.55826
1.01 1.73996 4.20908
1.02 1.75069 4.20803
1.03 1.76142 4.21249
1.04 1.77217 4.21326
1.05 1.78292 4.21345
1.06 1.79367 4.21284
1.07 1.8044 4.21159
1.08 1.81513 4.20851
1.09 1.82584 4.20276
1.1 1.83653 4.19764
1.11 1.84719 4.19185
1.12 1.85782 4.18518
1.13 1.86842 4.17832
1.14 1.87899 4.17211
1.15 1.88953 4.16483
1.16 1.90004 4.1582
1.17 1.91051 4.1534
1.18 1.92096 4.14632
1.19 1.93139 4.14448
1.2 1.9418 4.13759
1.21 1.94672 2.90517
1.22 1.95129 2.90877
1.23 1.95586 2.90825
1.24 1.96047 2.91848
1.25 1.96509 2.92363
1.26 1.96974 2.92257
1.27 1.9744 2.9268
1.28 1.97907 2.93027
1.29 1.98377 2.93431
1.3 1.98846 2.93389
1.31 1.99316 2.93446
1.32 1.99787 2.93397
1.33 2.00256 2.93334
1.34 2.00724 2.92769
1.35 2.01191 2.92526
1.36 2.01656 2.92171
1.37 2.02118 2.91574
1.38 2.02578 2.9131
1.39 2.03035 2.90776
1.4 2.0349 2.90244
1.41 2.03413 1.78151
1.42 2.0328 1.78442
1.43 2.03147 1.78155
1.44 2.03014 1.78193
1.45 2.02881 1.78267
1.46 2.02748 1.78026
1.47 2.02615 1.77934
1.48 2.02482 1.78008
1.49 2.02349 1.78025
1.5 2.02216 1.78207
1.51 2.02083 1.78179
1.52 2.0195 1.7825
1.53 2.01817 1.77736
1.54 2.01684 1.78458
1.55 2.01551 1.77926
1.56 2.01419 1.78432
1.57 2.01287 1.78675
1.58 2.01155 1.78196
1.59 2.01023 1.7789
1.6 2.00891 1.77842
1.61 2.00235 0.780516
1.62 1.99521 0.791613
1.63 1.9881 0.796795
1.64 1.98101 0.802338
1.65 1.97393 0.801259
1.66 1.96688 0.804548
1.67 1.95982 0.801536
1.68 1.95278 0.803438
1.69 1.94574 0.800612
