[PhaseWarp]
73
Degrees	PhaseWarp
0	6.3570693
5	6.426237268
10	7.437379213
15	7.36530123
20	8.850826913
25	8.399262905
30	10.22302878
35	9.087124721
40	11.1496927
45	9.493308959
50	11.85994287
55	9.72790971
60	12.27519598
65	9.98726118
70	12.63198245
75	10.09461897
80	12.67045964
85	10.14037684
90	12.66059644
95	10.17377032
100	12.2634003
105	9.853630329
110	11.75556241
115	9.315616375
120	7.197585476
125	8.601558261
130	6.772965506
135	7.973703836
140	6.453244382
145	7.324810398
150	6.284204579
155	5.627714138
160	6.325147807
165	6.082804638
170	6.095020701
175	6.307911801
180	6.594678049
185	6.806588044
190	6.857974761
195	8.127192069
200	7.861541913
205	9.563210047
210	8.755002594
215	10.7139922
220	9.294691584
225	11.49950191
230	13.95555693
235	12.05341144
240	14.60082406
245	12.34363326
250	15.08591511
255	12.55796196
260	15.1346736
265	12.59568865
270	15.02272783
275	12.50774313
280	9.866672268
285	11.97692106
290	9.626086093
295	11.16456393
300	8.979909274
305	10.26325473
310	8.225585024
315	9.168060825
320	7.55508171
325	6.30659507
330	7.033931007
335	6.244671556
340	6.733221505
345	6.346636294
350	6.204326686
355	6.245867812
360	6.35294111
