[PhaseWarp]
73
Degrees	PhaseWarp
0	35.75127549
5	37.69689506
10	39.80865157
15	44.73645513
20	47.26893421
25	49.81938523
30	52.07400177
35	54.07725793
40	55.81578124
45	57.39314243
50	58.63945271
55	59.5241772
60	60.13492863
65	60.33836249
70	60.23389526
75	57.66770208
80	57.18065845
85	54.64447074
90	53.80697832
95	51.25673918
100	50.1328649
105	47.68122064
110	46.35480997
115	44.03334188
120	42.62238695
125	40.52450419
130	38.62503925
135	37.29016648
140	35.69973819
145	34.38377293
150	33.30540923
155	32.48025294
160	32.39234691
165	32.15868156
170	32.98936888
175	33.04421221
180	34.46497807
185	36.15808334
190	38.11244544
195	42.60381478
200	44.9429056
205	47.18119279
210	49.34417863
215	51.31175959
220	53.20062126
225	54.71475268
230	56.07493713
235	57.10619453
240	57.8867942
245	58.27406542
250	58.35967594
255	55.95384407
260	55.5700748
265	53.1094717
270	52.45897902
275	51.53855719
280	49.09641154
285	47.91267507
290	45.55724271
295	43.36370969
300	41.99895512
305	40.08818394
310	38.16434815
315	36.9943479
320	35.62171064
325	34.40021931
330	38.44357675
335	37.79844946
340	37.37465541
345	37.9412418
350	37.71474748
355	39.08864072
360	40.75671108
