[PhaseWarp]
73
Degrees	PhaseWarp
0	35.73722303
5	35.12086905
10	32.69148645
15	32.32699977
20	29.80497088
25	29.68013341
30	29.73471868
35	27.09674868
40	27.2687059
45	24.38788774
50	24.82053917
55	25.06288924
60	21.94563026
65	22.22605596
70	19.08003026
75	19.09798095
80	15.81849948
85	15.792659
90	12.39598956
95	12.14688073
100	8.643176594
105	8.131576772
110	4.528268797
115	3.72674398
120	0.139386265
125	-3.533518772
130	-4.656888489
135	-8.319837473
140	-9.756851594
145	-13.50716087
150	-17.2316052
155	-18.99466274
160	-22.79706946
165	-26.56966373
170	-30.306331
175	-32.27036781
180	93.19756797
185	138.5184344
190	136.4740533
195	132.7488454
200	128.9950917
205	125.3335654
210	122.8823546
215	119.1867803
220	115.5254834
225	111.708761
230	108.3400898
235	105.6782445
240	101.9848961
245	98.63954406
250	95.06418893
255	91.5672591
260	88.15014325
265	85.32744203
270	81.98057488
275	78.81925435
280	75.60809281
285	72.46565247
290	69.38704534
295	66.38548489
300	63.43067878
305	60.61632236
310	57.78641135
315	54.96417528
320	52.36329298
325	50.34317536
330	47.93012955
335	45.16368816
340	42.70504608
345	41.47895494
350	39.08828751
355	38.11856864
360	35.75671097
