Altitude	Temperature	Pressure	Density	Speed of sound
[m]	[Celsius]	[pascal]	[kg/m3]	[m/s]
0	15	101325	1.225	340.294065
1000	8.5	89874.5705	1.111643	336.434048
2000	2	79495.21551	1.00649	332.529226
3000	-4.5	70108.54467	0.909122	328.578003
4000	-11	61640.2353	0.819129	324.578683
5000	-17.5	54019.9121	0.736116	320.529467
6000	-24	47181.02757	0.659697	316.428439
7000	-30.5	41060.74319	0.589501	312.273557
8000	-37	35599.81142	0.525168	308.062644
9000	-43.5	30742.45842	0.466348	303.793367
10000	-50	26436.26759	0.412707	299.463233
11000	-56.5	22632.06397	0.363918	295.06956
12000	-56.5	19330.40505	0.310828	295.06956
13000	-56.5	16510.40576	0.265483	295.06956
14000	-56.5	14101.79961	0.226753	295.06956
15000	-56.5	12044.57086	0.193674	295.06956
16000	-56.5	10287.45914	0.16542	295.06956
17000	-56.5	8786.682132	0.141288	295.06956
18000	-56.5	7504.844668	0.120676	295.06956
19000	-56.5	6410.006945	0.103071	295.06956
20000	-56.5	5474.88867	0.088035	295.06956
21000	-55.5	4677.886177	0.074874	295.749758
22000	-54.5	3999.79022	0.063727	296.428396
23000	-53.5	3422.434346	0.05428	297.105483
24000	-52.5	2930.492169	0.046267	297.781031
25000	-51.5	2511.023353	0.039466	298.455049
26000	-50.5	2153.093757	0.033688	299.127549
27000	-49.5	1847.45738	0.028777	299.79854
28000	-48.5	1586.289833	0.024599	300.468033
29000	-47.5	1362.964815	0.021042	301.136038
30000	-46.5	1171.8665	0.018012	301.802564
31000	-45.5	1008.231959	0.015429	302.467621
32000	-44.5	868.018685	0.013225	303.131219
33000	-41.7	748.228237	0.011262	304.981612
34000	-38.9	646.122224	0.009609	306.820846
35000	-36.1	558.923536	0.008214	308.64912
36000	-33.3	484.316727	0.007034	310.466628
37000	-30.5	420.36711	0.006035	312.273557
38000	-27.7	365.454746	0.005187	314.070092
39000	-24.9	318.220455	0.004466	315.856407
40000	-22.1	277.521554	0.003851	317.632678
41000	-19.3	242.395487	0.003326	319.39907
42000	-16.5	212.029878	0.002878	321.155746
43000	-13.7	185.737813	0.002494	322.902866
44000	-10.9	162.9374	0.002164	324.640584
45000	-8.1	143.134827	0.001881	326.36905
46000	-5.3	125.910294	0.001638	328.08841
47000	-2.5	110.906306	0.001428	329.798806
48000	-2.5	97.754504	0.001258	329.798806
49000	-2.5	86.162307	0.001109	329.798806
50000	-2.5	75.944768	0.000978	329.798806
51000	-2.5	66.938873	0.000862	329.798806
52000	-5.3	58.962162	0.000767	328.08841
53000	-8.1	51.866784	0.000682	326.36905
54000	-10.9	45.563162	0.000605	324.640584
55000	-13.7	39.970015	0.000537	322.902866
56000	-16.5	35.013665	0.000475	321.155746
57000	-19.3	30.627398	0.00042	319.39907
58000	-22.1	26.75087	0.000371	317.632678
59000	-24.9	23.32956	0.000327	315.856407
60000	-27.7	20.314261	0.000288	314.070092
61000	-30.5	17.660618	0.000254	312.273557
62000	-33.3	15.328694	0.000223	310.466628
63000	-36.1	13.282574	0.000195	308.64912
64000	-38.9	11.489998	0.000171	306.820846
65000	-41.7	9.92203	0.000149	304.981612
66000	-44.5	8.552746	0.00013	303.131219
67000	-47.3	7.358951	0.000114	301.269461
68000	-50.1	6.319922	0.000099	299.396126
69000	-52.9	5.41717	0.000086	297.510996
70000	-55.7	4.634222	0.000074	295.613844
71000	-58.5	3.95642	0.000064	293.704438
72000	-60.5	3.371763	0.000055	292.332941
73000	-62.5	2.869165	0.000047	290.95498
74000	-64.5	2.437728	0.000041	289.570461
75000	-66.5	2.067918	0.000035	288.17929
76000	-68.5	1.751404	0.00003	286.781371
77000	-70.5	1.480918	0.000025	285.376605
78000	-72.5	1.250123	0.000022	283.964889
79000	-74.5	1.053508	0.000018	282.54612
80000	-76.5	0.88628	0.000016	281.12019
81000	-78.5	0.74428	0.000013	279.686991
82000	-80.5	0.623905	0.000011	278.24641
83000	-82.5	0.522037	0.00001	276.798331
84000	-84.5	0.435981	0.000008	275.342637
85000	-86.204	0.36342	0.000007	274.096286
86000	-86.204	0.302723	0.000006	274.096286
				
				
				
				
